,index,table_title
9648,9648,Operative findings
9649,9649,Postoperative outcome
9650,9650,Table Nerve ingrowth into deeper levels of intervertebral disc as assessed by PGP9·5 staining in control and biopsy samples
9651,9651,Table Characteristics of patients before indinavir and at admission for febrile illness after indinavir
9652,9652,Table Results of trial
9653,9653,Characteristics of study patients and tissue specimens
9654,9654,"Frequency of HHV-8, mycobacterial, and Epstein-Barr virus (EBV) DNA sequences in sarcoid and non-sarcoid tissues"
9655,9655,Criteria for pathological diagnosis of a gastric lesion
9656,9656,"Assignment of HHV-8 sequences into groups and mycobacterial DNA sequences into species, and identification of base substitutions in unique HHV-8 sequences"
9657,9657,Baseline patient characteristics
9658,9658,Rejection episodes 6 months after transplantation (intention-to-treat analysis)
9659,9659,Summary statistics of cyclosporin daily dose and whole-blood trough levels
9660,9660,Graft and patient survival 12 months after transplantation (intention-to-treat analysis)
9661,9661,Distribution of diagnoses by individual pathologists
9662,9662,Diagnoses and findings of biopsies and endoscopic resections from all 19 gastric lesions
9663,9663,Agreement between viewpoints for all 35 slides
9664,9664,Baseline characteristics of patients
9665,9665,Results of endoscopic stone removal after EBD and EST
9666,9666,Early complications (<15 days after ERCP) after EBD and EST and complications during follow-up (>15 days after ERCP)
9667,9667,Results of endoscopic stone removal after EBD and EST in relation to stone size and number
9668,9668,Baseline characteristics of study population
9669,9669,Rate of fibrosis progression in patients by risk factors
9670,9670,Validation of estimated rate of liver fibrosis progression per year
9671,9671,Age and sex distribution and results of stool examination according to study group
9672,9672,Colonoscopic findings and ELISA results
9673,9673,Response to initial course of treatment in all symptomatic patients
9674,9674,Follow-up data
9675,9675,Clinical and laboratory data
9676,9676,Production of EMA by in-vitro cultured intestinal explants from CD patients and controls
9677,9677,Demographic characteristics of study sample of second-year UK university students
9678,9678,Alcohol drinking
9679,9679,Use of cannabis and other illicit drugs
9680,9680,"Association between cannabis, tobacco, and alcohol use"
9681,9681,"Association between cannabis use, LSD, and Ecstasy"
9682,9682,HAD scores
9683,9683,Demographic data
9684,9684,Associated medical conditions
9685,9685,Repeat procedures required to establish biliary drainage
9686,9686,Baseline characteristics of the two study groups
9687,9687,Overall success for both treatment groups
9688,9688,Subgroup analysis for patients with initially abnormal defaecation dynamics: relation with treatment success
9689,9689,"Relationship between post-treatment defaecation dynamics and success in all patients, independent of the treatment group"
9690,9690,Results of anorectal manometry (median and range)
9691,9691,Regression Analysis of QT Duration and Other Repolarization Variables
9692,9692,Tissue concentration near ischaemic ulcers (mcg/g wet weight) and blood concentration (mcg/mL) of gentamicin and clindamycin: comparison of intravenous and intra-arterial infusion with transvenous pressure injection in Bier's arterial arrest
9693,9693,Median TCA-enhancement factors and confidence intervals (CI) of the individual ratios of TVA-Bier (C) vs intravenous (A)—and TVA-Bier (C) vs intra-arterial (B) application at both measurement times
9694,9694,"Characteristics of 163 patients
*"
9695,9695,Axillary node metastases according to pathological variables
9696,9696,Distribution of 85 cases with positive axillary nodes according to sentinel-node biopsy results
9697,9697,Clinical details of patients receiving IA
9698,9698,Functional outcome by diary analysis
9699,9699,Baseline Characteristics of the 1981 to 1983 Versus 1992 to 1994 Cohorts for All Patients With Acute Myocardial Infarction and Patients With Early Cerebrovascular Events
9700,9700,Volumes of plasma treated by one or two immediately pretransplant IA sessions and effects of IA on patient serum/donor cell crossmatches and on serum IgG
9701,9701,Details of transplantation and outcome
9702,9702,Demographic and baseline characteristics (full analysis set)
9703,9703,Secondary efficacy endpoints in the per-protocol set
9704,9704,Treatment-emergent adverse events in the safety population
9705,9705,Baseline characteristics
9706,9706,Primary outcome and outcomes related to delivery
9707,9707,Maternal and neonatal outcomes
9708,9708,Baseline sociodemographic data and fistula characteristics at enrolment
9709,9709,Primary and secondary outcomes
9710,9710,Patients' characteristics
9711,9711,Functional outcome by ASCRS quality of life assessment
9712,9712,Functional outcome by SF-36 quality of life assessment
9713,9713,"Table Association between demographic and treatment characteristics and acquisition of an STD 
*
 in people with AIDS 
†"
9714,9714,Continence at a median follow-up of 77 months in 38 patients without a stoma or further surgery after sphincter repair
9715,9715,Continence scores in 38 patients without a stoma or further surgery after sphincter repair
9716,9716,Analysis to seek predictive variables
9717,9717,Characteristics of patients who met the inclusion
9718,9718,"Results of voiding/incontinence diary measures comparing pre treatment (pre) with subchronic test period (test), 6 months, and last follow-up (last)
†"
9719,9719,Urodynamic data before implant (pre) and 6 months after implant
9720,9720,Table Baseline characteristics of participants
9721,9721,Table Patient baseline characteristics
9722,9722,Baseline characteristics of the intention-to-treat population
9723,9723,Postoperative complications
9724,9724,Baseline characteristics of the randomised intention-to-treat set
9725,9725,"Outcomes of the randomised intention-to-treat set (patients with positive PET-2 recruited before June, 2011, and all patients with negative PET-2)"
9726,9726,"Therapy adherence, acute toxicities and supportive measures during chemotherapy of patients with negative PET-2, randomised intention-to-treat set"
9727,9727,Association of ICA with different concentrations of GADA by age-group
9728,9728,Magnetic Resonance Imaging Parameters in Severely Dysfunctional Segments (n = 165) According to the Viability Status by Positron Emission Tomography
9729,9729,Sensitivity and Specificity of Different Thresholds of Segmental Extent of Hyperenhancement for the Detection of Non-Viable Myocardium by 18F-Fluorodeoxyglucose–Positron Emission Tomography
9730,9730,Viability by Contrast-Enhanced Magnetic Resonance Imaging According to Viability Status by Positron Emission Tomography
9731,9731,Baseline Characteristics of Cardiovascular Health Study Participants With and Without Gender-Specific Creatinine Elevation*
9732,9732,Incidence of Selected Outcomes in Cardiovascular Health Study Participants by Creatinine Level
9733,9733,Hazard Ratios and 95% CIs for Association Between Baseline Serum Creatinine and Incident Cardiovascular Outcomes
9734,9734,Characteristics Associated With Cardiovascular Mortality in Elderly Participants of the Cardiovascular Health Study
9735,9735,"Hazard Ratios and 95% CIs for Association Between Serum Creatinine and Incident Cardiovascular Outcomes, Stratified by Gender"
9736,9736,Hazard Ratios and 95% CIs for Association Between Baseline Serum Creatinine and First Recurrent MI and Cerebrovascular Accidents
9737,9737,Baseline Characteristics of the FH Children and Controls
9738,9738,Withdrawals and deaths during main follow-up (to 52 weeks)
9739,9739,Patient characteristics and types of surgery and anaesthesia
9740,9740,Logistic regression model including 628 patients predicting incident postoperative delirium
9741,9741,"Postoperative pain levels by visual analogue scale for pain, 0–100 mm"
9742,9742,Postoperative opioids in morphine equivalents
9743,9743,Baseline characteristics of patients
9744,9744,"Remission, response, and mucosal healing rates at week 12 with central and local endoscopy readings"
9745,9745,Safety outcomes
9746,9746,Safety characteristics of patients
9747,9747,Baseline characteristics
9748,9748,Kaplan-Meier estimates of the likelihood of recurrent upper gastrointestinal bleeding and serious cardiovascular events at 18 months
9749,9749,Disease-activity score of celecoxib and naproxen for arthritis
9750,9750,Baseline characteristics
9751,9751,Overall best responses
9752,9752,Efficacy endpoints at week 12
9753,9753,Adverse events (on treatment at week 12)
9754,9754,Definitions of PRAE assessed
9755,9755,Demographics and characteristics of participants
9756,9756,Anaesthetic management of participants
9757,9757,"Frequency of PRAE during perioperative, intraoperative, and postoperative periods"
9758,9758,Frequency of perioperative respiratory adverse events in infants having deep or awake airway device removal during minor elective surgery
9759,9759,Baseline characteristics of the safety population
9760,9760,Efficacy analyses for primary and secondary outcomes using primary analysis with the stratification covariates as additive terms in the model
9761,9761,Most common treatment-emergent adverse events occurring in at least 2% of patients receiving LMTM that were greater than in the control group
9762,9762,Efficacy analyses for primary and secondary outcomes using prespecified analysis with the covariate for LMTM as monotherapy or add-on as an interaction term with treatment and an interaction term with visit in the model
9763,9763,Table Patient demographics
9764,9764,Perioperative variables
9765,9765,Effectiveness outcomes
9766,9766,Most common (≥20%) treatment-emergent adverse events
9767,9767,Baseline demographics and disease characteristics
9768,9768,Common drug-related adverse events
9769,9769,"Global, regional, and national or territory number of maternal deaths, maternal mortality ratio (MMR; number of deaths per 100 000 livebirths), and annualised rates of change in percent, 1990–2015"
9770,9770,"Average coverage of reproductive health services between including one visit of antenatal care (ANC), four ANC visits, in-facility delivery, and skilled birth attendance by MMR strata, all years from 1990 to 2015 combined"
9771,9771,Patient characteristics in the intention-to-treat population
9772,9772,Key secondary efficacy endpoints
9773,9773,"Grade 3 and 4 toxicities, and grade 2 neurotoxicities possibly related to CD19-CAR T-cell therapy"
9774,9774,Treatment-emergent adverse events up to week 24 in the safety population
9775,9775,Baseline characteristics
9776,9776,Least square mean change from baseline for mRSS and in patient-reported and physician-reported outcomes
9777,9777,Changes from baseline in modified Rodnan skin score
9778,9778,Adverse events
9779,9779,Various definitions of acute chest syndrome from highly cited studies
9780,9780,Asthma definitions in individuals with sickle-cell disease and main findings of the article
9781,9781,"Top ten causes of death in males, females, and both for ages 10–14 years, 15–19 years, and 20–24 years, 1990, 2005, and 2013"
9782,9782,"Top ten causes of years lost due to disability (YLDs) in males, females, and both for ages 10–14 years, 15–19 years, and 20–24 years, 1990, 2005, and 2013"
9783,9783,"Top 10 causes of disability-adjusted life-years (DALYs) in males, females, and both for ages 10–14 years, 15–19 years, and 20–24 years, 1990, 2005, and 2013"
9784,9784,Patients’ demographic and baseline disease characteristics
9785,9785,Baseline characteristics of all qualified patients
9786,9786,Efficacy outcomes
9787,9787,Baseline characteristics of the study population (N=10)
9788,9788,Functional and haemodynamic parameters at baseline and at 3 month follow-up
9789,9789,Enrolment characteristics of intention-to-treat population
9790,9790,Laboratory parameters of intention-to-treat population at final assessment
9791,9791,Serious adverse events
9792,9792,Baseline demographics
9793,9793,2-year descriptive statistics demographic data
9794,9794,Descriptive statistics Bayley-III and MacAthur-Bates scores by group
9795,9795,Between-group comparisons in Bayley-III and MacArthur-Bates scores
9796,9796,2-year non-psychometric outcome data
9797,9797,Baseline characteristics
9798,9798,"Interruptions to treatment because of clinical or laboratory adverse events, by participant"
9799,9799,Bacterial sexually transmitted infections
9800,9800,Baseline characteristics
9801,9801,Subgroup analysis and interaction between transfusion groups and mortality
9802,9802,Underlying primary cause of death overall and by transfusion strategy
9803,9803,Baseline characteristics
9804,9804,Incidence of adverse events for each group and by age
9805,9805,Characteristics of patients
9806,9806,Active range of motion for each patient of the affected limb after brachial plexus reconstruction but before amputation
9807,9807,Functional outcome scores for all patients before and after bionic reconstruction
9808,9808,"Baseline characteristics, laboratory variables, and cointerventions"
9809,9809,Differences between eligible patients who were enrolled versus those not enrolled
9810,9810,"Protocol adherence, red blood cell transfusion, and haemoglobin results"
9811,9811,Procedure details
9812,9812,Clinical outcomes (patients with haemoglobin concentration of less than 120 g/L)
9813,9813,Baseline characteristics
9814,9814,Effects of methylprednisolone on outcomes
9815,9815,Baseline characteristics
9816,9816,Disease-free survival and overall survival events in the intention-to-treat population
9817,9817,Adverse events occurring in at least 5% of any one group
9818,9818,"Patient demographic characteristics, response, and toxicity"
9819,9819,Adverse events
9820,9820,Baseline characteristics
9821,9821,Number and simple rates of the efficacy and safety outcomes of the study
9822,9822,Serum concentrations of immunoglobulin in g/L at baseline at week 24 after treatment administration and at end of the study
9823,9823,"Adverse events, except bleeding, occurring in more than 5% of the patients or more than grade 2 in severity in any of the treatment groups"
9824,9824,Treatment-emergent adverse events in more than two patients
9825,9825,Baseline characteristics
9826,9826,Baseline characteristics of study clusters at the beginning of the transmission in 2010
9827,9827,Baseline characteristics of the enrolled children at the beginning of the transmission in 2010
9828,9828,Coverage and quality of the interventions by study group
9829,9829,Malaria outcomes in the child cohort by treatment allocation
9830,9830,Stratification by geographical area and cluster size
9831,9831,Efficacy against clinical malaria (primary case definition) of a primary schedule with or without a booster dose and incremental efficacy of the booster dose
9832,9832,Efficacy against severe malaria (primary case definition) of a primary schedule with or without a booster dose
9833,9833,Number of cases averted per 1000 participants in children or young infants immunised with a primary vaccination schedule with or without a booster dose
9834,9834,Demographics and baseline characteristics of women
9835,9835,Primary outcome
9836,9836,Factors that differentiated caseload midwifery and standard care in the trial groups
9837,9837,Baseline characteristics
9838,9838,Primary and secondary maternal and infant outcomes
9839,9839,Procedure-related complications
9840,9840,Baseline characteristics of the patients at entry
9841,9841,Anaesthetic and other intraoperative procedures
9842,9842,Outcomes
9843,9843,Adverse events
9844,9844,Baseline characteristics
9845,9845,Intraoperative ventilation characteristics
9846,9846,Primary and secondary outcomes
9847,9847,Patient and transplant characteristics
9848,9848,Transplant outcome after HLA-matched related-donor transplants (n=21)
9849,9849,Transplant outcome in HLA-matched unrelated-donor transplant recipients (n=35)
9850,9850,Demographic and clinical characteristics at baseline
9851,9851,Pooled safety outcomes for cohorts 1 and 2 during treatment
9852,9852,Table Treatment of uncomplicated malaria
9853,9853,Baseline characteristics
9854,9854,Response during and after treatment
9855,9855,Perineal status after vaginal birth
9856,9856,Outcomes of the study
9857,9857,Adverse drug reactions
9858,9858,Baseline characteristics
9859,9859,Objective tumour response
9860,9860,"Adverse events, according to grade"
9861,9861,Patient demographics and baseline characteristics in all randomly assigned patients
9862,9862,"Adverse events in the safety population (all randomly assigned patients)
*"
9863,9863,"Baseline demographic data, by patient number"
9864,9864,Drug-related adverse events
9865,9865,"UPDRS part III scores in on and off states for each patient, by timepoint"
9866,9866,"Total UPDRS score in on and off states for each patient, by timepoint"
9867,9867,"Levodopa equivalent daily dose (mg) for each patient, by timepoint"
9868,9868,Baseline demographics and clinical characteristics of study population by treatment group
9869,9869,"Treatment resistance, IVIG infusion reactions, duration of hospital stay, and days of fever in the study population by treatment group"
9870,9870,Coronary artery classification and Z scores for the study population by treatment group
9871,9871,"Change from baseline in coronary artery outcomes at weeks 2 and 5 and Z
max for the study population by treatment group"
9872,9872,Change in laboratory data from baseline at 24 h after completion of intravenous immunoglobulin and at week 2 and week 5 after randomisation by study group
9873,9873,Adverse events
9874,9874,Other infant outcomes
9875,9875,"Adverse outcomes in individual infants older than 24 weeks' gestational age, by trial group"
9876,9876,"Hospital cost (AUS$), by mode of birth"
9877,9877,"Prevalence of vitamin A deficiency (1995–2005), iodine deficiency (2013), inadequate zinc intake (2005), and iron deficiency anaemia (2011)"
9878,9878,Global deaths in children younger than 5 years attributed to nutritional disorders
9879,9879,"Prevalence and numbers of children younger than 5 years with stunting, wasting, severe wasting, and underweight using estimates from UN and NIMS, by UN regions for 2011"
9880,9880,Review of nutrition interventions for women of reproductive age and during pregnancy
9881,9881,Review of nutrition interventions in neonates
9882,9882,Review of evidence for nutrition interventions for infants and children
9883,9883,Review of evidence for disease prevention and management
9884,9884,Effect of packages of nutrition interventions at 90% coverage
9885,9885,"Total additional annual cost of achieving 90% coverage with nutrition interventions, excluding management of moderate acute malnutrition, in 34 countries with more than 90% of the burden"
9886,9886,"Table Thresholds for cost-effectiveness of interventions worldwide in 2010, by income group or region"
9887,9887,Demographics and key baseline characteristics
9888,9888,Primary outcome and its components
9889,9889,Secondary outcomes
9890,9890,Neonatal outcomes
9891,9891,Sensitivity analyses of the primary outcome
9892,9892,Characteristics of hospitals by group allocation during the baseline period (year 1) and the post-intervention period (year 4)
9893,9893,Characteristics of patients by group allocation during the baseline period (year 1) and the post-intervention period (year 4)
9894,9894,Primary outcome
9895,9895,Donation intervals (weeks) in countries with national guidelines for blood donation
9896,9896,"Lipid Measurements at Baseline, 28 Weeks, and Mean Absolute Change From Baseline for the Simvastatin and Placebo FH Group*"
9897,9897,Baseline Characteristics of the Study Population
9898,9898,Angiographic and Procedural Details in the Study Population
9899,9899,Population At Risk and Cumulative Three-Year Mortality Rates Associated With Ascending Levels of CK-MB Elevation
9900,9900,Blood Pressure and Heart Rate at Baseline and After Transdermal GTN or No Treatment
9901,9901,RR Interval and Heart Rate Variability at Baseline and After Treatment With Transdermal GTN or No Therapy
9902,9902,Causes of hospital-based maternal mortality by group allocation during the baseline (year 1) and post-intervention period (year 4)
9903,9903,Secondary outcomes—hospital complexity index
9904,9904,Secondary outcomes—medical practice
9905,9905,Completion times (s) and total scores in the action research arm test
9906,9906,Performance in the three-cone-stacking task
9907,9907,Baseline characteristics
9908,9908,Characteristics and outcomes during and after surgery
9909,9909,Causes of death
9910,9910,"Estimated number of cases and age-standardised and sex-standardised prevalence of cannabis, amphetamine, cocaine, and opioid dependence in 2010, by region"
9911,9911,"Estimated YLDs, YLLs, and DALYs for drug use disorders, by sex, in 2010"
9912,9912,"Estimated DALYs attributable to illicit drug use as a risk factor for other health outcomes, 2010"
9913,9913,"Characteristics of screening programmes, intervention delivery, and outcome ascertainment, by study centre"
9914,9914,Storage time for transfusion products
9915,9915,90-day mortality by age and sex
9916,9916,Changes in mortality by year of primary operation
9917,9917,Univariable and multivariable Cox proportional hazards models of 90-day mortality
9918,9918,Table Post-approval clinical trials of erythropoiesis-stimulating agents
9919,9919,Characteristics of patients included in this trial versus excluded patients
9920,9920,Detection rates of colorectal cancer and large polyps
9921,9921,"Additional colonic investigation in patients who had their randomised procedure, by reason for investigation"
9922,9922,"Results of additional colonic investigation in patients who had their randomised procedure, by reason for investigation"
9923,9923,Baseline characteristics of patients assessed for primary outcome
9924,9924,Haemoglobin concentrations and blood-transfusion details
9925,9925,Numbers of clinically important complications and serious adverse events
9926,9926,Summary of patients with serious adverse events
9927,9927,Baseline characteristics of patients with clinically important complications
9928,9928,Data from transfusion studies in patients with sickle-cell disease
9929,9929,Patient characteristics
9930,9930,Exploratory subgroup analysis to assess the progression-free survival benefit of bendamustine plus rituximab versus CHOP plus rituximab
9931,9931,Haematological toxic events in patients receiving at least one dose of study treatment
9932,9932,All grades of non-haematological toxic events in patients receiving at least one dose of study treatment
9933,9933,Baseline characteristics
9934,9934,Primary endpoints
9935,9935,Clinical events during the trial and status at end of the trial
9936,9936,Grade 3 and 4 clinical and laboratory events
9937,9937,"Comparison of recommendations or guidelines for the management of cervical cancer during pregnancy in patients wishing initially to preserve pregnancy (management for common histological subtypes: adenocarcinoma, squamous-cell, or adenosquamous carcinoma)"
9938,9938,Drugs used for the treatment of ovarian and cervical cancer during pregnancy
9939,9939,Baseline characteristics of mothers and infants
9940,9940,Cumulative incidence of HIV-1 infection or death in infants uninfected at age 6 weeks
9941,9941,"Adverse events, rash, and grade 3 or higher laboratory abnormalities in infants who received at least one dose of study drug"
9942,9942,Spinal length and curvature before and after implantation of magnetically controlled growing rod in patients 1 and 2
9943,9943,SRS-30 mean clinical outcome assessment scores
9944,9944,"Paralympic Games, 1948–2012"
9945,9945,Paralympic sports
9946,9946,Baseline characteristics of study participants
9947,9947,Bactericidal activity of agents and regimens determined by growth of log10CFU of Mycobacterium tuberculosis on solid media
9948,9948,Activity of agents and regimens determined by time (h) to positivity in liquid culture
9949,9949,Adverse events
9950,9950,"Risk factors included, exposure variables, theoretical-minimum-risk exposure distributions, and outcomes affected"
9951,9951,"Proportion of ischaemic heart disease disability-adjusted life-years attributable to individual risk factors, worldwide, 2010"
9952,9952,"Deaths attributable to risk factors and risk factor clusters, worldwide"
9953,9953,"Disability-adjusted life-years (1000s) attributable to risk factors and risk factor clusters, worldwide"
9954,9954,Baseline characteristics by treatment group
9955,9955,Adverse events by treatment group
9956,9956,ST Segment Angle >20° in Males and Females With Male Pattern
9957,9957,Efficacy outcomes by treatment group
9958,9958,Survival rate by treatment group (per-protocol analysis set)
9959,9959,Baseline characteristics of patients
9960,9960,Effect of preoperative anaemia on mortality and morbidity at 30 days
9961,9961,"ORunadjusted and ORadj-2 of mortality at 30 days for patients with anaemia or risk factors and anaemia and risk factors, compared with reference populations of patients with neither anaemia nor risk factors"
9962,9962,"ORunadjusted and ORadj-2 of morbidity at 30 days for patients with anaemia or risk factors and anaemia and risk factors, compared with reference populations of patients with neither anaemia nor risk factors"
9963,9963,Table Effect of immunosuppressive drugs on cardiovascular risk factors
9964,9964,"Table Risk factors for admission to hospital with bacteraemia, 1999–2002"
9965,9965,Treatment recommendations and targets in the intensive treatment group
9966,9966,"Clinical, biochemical, and treatment characteristics of patients at baseline and mean follow-up of 5·3 years"
9967,9967,Cardiovascular events and all-cause mortality in the two treatment groups
9968,9968,Demographic details of the study population
9969,9969,Efficacy and safety
9970,9970,"Secondary outcome measures at 56 days, by allocation"
9971,9971,Primary endpoint by interaction demographic variables in all randomised patients
9972,9972,Description of all-cause mortality up to day 360
9973,9973,Baseline patient characteristics
9974,9974,Spleen function (primary endpoint)
9975,9975,DTPA GFR (primary endpoint)
9976,9976,Splenic function at exit (secondary endpoint)
9977,9977,Comparisons between entry and exit values (secondary endpoint)
9978,9978,Adverse events
9979,9979,Toxic effects
9980,9980,Baseline characteristics of men enrolled and not enrolled
9981,9981,"Prevalence at enrolment, and incidence and clearance of human papillomavirus (HPV) infections in men"
9982,9982,Factors independently associated with infection with human papillomavirus (HPV)
9983,9983,Factors independently associated with clearance of human papillomavirus (HPV) infections
9984,9984,Baseline demographic and clinical characteristics
9985,9985,Patients with first on-study skeletal-related events by type
9986,9986,Median change in bone turnover markers from baseline to study week 13
9987,9987,Adverse events and adverse events of interest in patients receiving at least one dose of study treatment
9988,9988,Studies of antiresorptive drugs for the prevention of skeletal-related events in castration-resistant prostate cancer
9989,9989,Baseline characteristics by allocation
9990,9990,Cox regression analysis of time to sputum culture conversion
9991,9991,Baseline Characteristics of Subjects
9992,9992,Adverse events
9993,9993,Effect of Oral CEE or Transdermal Estradiol on Hormones and Lipids After One Month
9994,9994,Effect of Oral Conjugated Equine Estrogen or Transdermal Estradiol on Hemostatic Factors After One Month
9995,9995,Reports Evaluating Hemostatic and Fibrinolytic Markers in Postmenopausal Women After Estrogen
9996,9996,Reports Evaluating Hemostatic and Fibrinolytic Markers in Postmenopausal Women After Estrogen
9997,9997,Clinical Characteristics
9998,9998,Echocardiographic Parameters in Healthy Volunteers and in Patients
9999,9999,Characteristics of Diabetic Patients Undergoing Intervention After Prior CABG
10000,10000,Estimated number of patients diagnosed with an index cancer worldwide each year around 2012
10001,10001,Definition of malignancies and number of contributing countries and registries by calendar period of diagnosis
10002,10002,Data quality indicators: patients diagnosed during 2000–14 by continent and country
10003,10003,"Population covered by participating registries (number of people and percentage of national population) and number of adults diagnosed with cancer of the oesophagus, stomach, colon, rectum, liver, pancreas, or lung, or melanoma of the skin during 2000–14 by continent and country"
10004,10004,"Population covered by participating registries (number of people and percentage of national population) and number of patients diagnosed with cancer of the breast (women), cervix, ovary, prostate, or brain, or myeloid or lymphoid malignancies (adults), and brain, acute lymphoblastic leukaemia, or lymphoma (children) during 2000–14 by continent and country"
10005,10005,Summary of SAEs
10006,10006,Baseline characteristics
10007,10007,Risk of adverse events of interest
10008,10008,"Rates of all adverse events, stratified by system organ classification, in the blinded randomised phase"
10009,10009,"Rates of all adverse events, stratified by system organ classification, in the non-blinded non-randomised phase"
10010,10010,Clinical and demographic characteristics of the study cohort stratified by disease behaviour during follow-up
10011,10011,Competing-risk model for disease complications and early anti-TNFα comparative effectiveness analysis
10012,10012,Competing-risk model including extracellular matrix gene signature
10013,10013,"Number of deaths and person-years in the 2001 Spanish Census Cohort of people aged 10–74 years, by indicators of household wealth and calendar year"
10014,10014,"Comparison of time trends in premature mortality before and during the 2008 economic crisis, by cause of death (ICD-10 code
*
) and socioeconomic group according to household space in the 2001 Spanish Census Cohort of people aged 10–74 years"
10015,10015,"Comparison of time trends in premature mortality before and during the 2008 economic crisis, by cause of death (ICD-10)
*
 and socioeconomic groups
†
 and household car ownership, in the 2001 Spanish Census Cohort of people aged 10–74 years"
10016,10016,"Comparison of time trends in all-cause premature mortality before and during the 2008 economic crisis, by two indicators of household wealth
*
 and sex and age group
†
, in the 2001 Spanish Census Cohort of people aged 10–74 years"
10017,10017,Causes of small bowel obstruction
10018,10018,Baseline characteristics
10019,10019,Percentage of patients in the intention-to-treat population fulfilling response criteria
10020,10020,"Change from baseline in functional ability, mood, and health-related quality of life outcomes"
10021,10021,"Adverse reactions deemed by investigator to be possibly, probably, or definitely related to treatment"
10022,10022,Health-care costs and QALYs over 12 months
10023,10023,Baseline characteristics
10024,10024,Intraoperative data and early postoperative complications within 6 months of surgery
10025,10025,Baseline characteristics
10026,10026,Multivariable logistic regression analysis for the effect of treatment on the primary endpoint (ACR20 at 48 weeks post randomisation)
10027,10027,"Univariable analysis (χ
2 test of independence) for the proportion of patients in the evaluable patient population achieving a response at 48 weeks post randomisation for the key secondary endpoints"
10028,10028,Baseline characteristics
10029,10029,Primary outcome at 6 months
10030,10030,Mortality at 6 months
10031,10031,Thrombotic events and adverse events
10032,10032,Baseline characteristics
10033,10033,Efficacy outcomes
10034,10034,Percentage change from baseline at week 12 in lipid parameters according to receptor mutation status
10035,10035,Adverse events
10036,10036,Demographic and baseline characteristics by randomisation option and by protocol comparison
10037,10037,"Estimated average differences between levodopa and levodopa-sparing groups, and between dopamine agonist and MAOBI, in the different PDQ-39 subscales and in EQ-5D utility score"
10038,10038,Baseline characteristics
10039,10039,Adverse events overview
10040,10040,"Anti-phenylalanine ammonia lyase antibody response, by dose group"
10041,10041,"Anti-polyethylene glycol antibody response, by dose group"
10042,10042,Patient demographics and clinical characteristics
10043,10043,Summary of efficacy parameters
10044,10044,Total and specific treatment-emergent adverse events reported by at least 3% of patients in either treatment group
10045,10045,"Adverse reactions definite, probable, and possibly related to study intervention by week 39"
10046,10046,Comparison of the efficacy of EMA401 versus that of approved postherpetic neuralgia treatments
10047,10047,Demographic and baseline disease characteristics of the patients (12-month landmark analysis)
10048,10048,Site of first disease-free survival event
10049,10049,Adverse events (safety populations)
10050,10050,Baseline demographic and clinical characteristics
10051,10051,Types of diseases and surgical procedures in patients undergoing upper gastrointestinal surgery
10052,10052,Primary outcome and its components in modified intention-to-treat population
10053,10053,Secondary outcomes in the modified intention-to-treat population
10054,10054,Baseline characteristics
10055,10055,Emergent mutations in participants who had virological failure
10056,10056,"Safety results: deaths, serious adverse events, and adverse events"
10057,10057,"Table Overview of the locus, gene, and function of definite and probable genetic risk factors for ankylosing spondylitis"
10058,10058,"Pooled analysis of the effect of allocation to aspirin on risk of death due to cancer during the seven trials from which individual patient data were available,
17–21,23,24
 stratified by type of primary tumour and period of follow-up"
10059,10059,"Changes in immunological, haematological, biochemical, and metabolic variables between baseline and week 48"
10060,10060,"Table Lipid and lipoprotein concentrations at baseline and weeks 26, 56, and 78 (end of study)"
10061,10061,Demographic and baseline characteristics of participants
10062,10062,Change from baseline of primary outcomes: DAMES and ABS
10063,10063,Serious adverse events
10064,10064,"Primary outcome measures at 52 weeks, stratified by dementia status at randomisation"
10065,10065,"Pooled analysis of the effect of allocation to aspirin on the 20-year risk of death due to cancer during and after the trial treatment periods in the 10 502 patients with scheduled treatment duration of 5 years or longer in the three trials with long-term follow-up,
17–19
 stratified by type of primary tumour and period of follow-up"
10066,10066,Baseline characteristics
10067,10067,Hypoglycaemia incidence and event rate (safety population)
10068,10068,Baseline and clinical characteristics of patients with melanoma treated with dabrafenib at the recommended phase 2 dose
10069,10069,Baseline and clinical characteristics of patients with non-melanoma solid tumours treated with dabrafenib at any dose
10070,10070,Treatment-related adverse events of grade 2 or higher reported in at least 5% of patients by dose
10071,10071,Baseline demographics of participants and carers
10072,10072,Baseline clinical characteristics of participants and carers
10073,10073,Primary outcomes of research worker rated CSDD score
10074,10074,Comparisons of secondary participant and carer outcomes and depression severity
10075,10075,Distribution of β-blocker use at baseline
10076,10076,Effects on primary and major secondary endpoints
10077,10077,Incidence of relevant serious adverse events during the study by system organ class
10078,10078,Selected adverse events and those leading to definitive withdrawal of study drug
10079,10079,Change in glycosylated haemoglobin (HbA1c) from baseline to week 52 by analysis population
10080,10080,Treatment-emergent adverse events (safety population)
10081,10081,Baseline characteristics of trial participants
10082,10082,Efficacy of pentavalent rotavirus vaccine for prevention of rotavirus gastroenteritis and gastroenteritis for complete follow-up in Africa
10083,10083,Efficacy of the pentavalent rotavirus vaccine for prevention of severe rotavirus gastroenteritis (Vesikari score ≥11) in Africa by country and follow-up period
10084,10084,"Antirotavirus IgA and SNA seroresponse rates and geometric mean titres after the third dose in recipients of pentavalent rotavirus vaccine and placebo in the immunogenicity subset
*"
